"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision"
"02/18/2016 02:20:55:036 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","71574.63091163558"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","54809.71759766288"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","50015.43365676065"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","72119.4229426447"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","72465.82902231258"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","57842.87145453273"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","74020.34012392763"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","73282.53711476071"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","54694.050117880994"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","58085.27276979441"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","77713.63459957925"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","74910.69621767111"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","57557.485785561206"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","83436.7923867032"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","61102.48729761463"
"3","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","82359.82046511084"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","60445.07048259061"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","63496.51422770941"
"2","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","76248.24349101838"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","67141.17386993034"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","61397.94627159781"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","67426.22849381824"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5148.708536965834"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5469.082114773392"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10597.877344942295"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","62047.23422930603"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","70954.90085840483"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10528.793314712644"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","14972.30193904645"
"4","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","75354.85533129852"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","15053.934443420854"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","66552.73314281309"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","19918.800737263882"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","20376.611544850013"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","71663.47232302089"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","24143.126812884788"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","24672.10380044195"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5343.0666445238"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","28888.030031783004"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","74295.42169928303"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","28966.496359901314"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10122.543413807762"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","33546.88513662817"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","33204.83467699107"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","15153.783233502209"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","75856.61423443256"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","37089.643959678186"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","35788.589751066815"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","18793.302138190273"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","42451.124925610806"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","79562.81223106677"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","22427.48410168004"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","38606.974975527875"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","47514.75229476193"
"1","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","82414.48944834711"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","41736.344467716204"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","27203.98706693538"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","47454.56004849219"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","45030.483335282224"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","31067.07538403504"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","52738.45813056375"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","47936.04239504829"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","34761.978683155925"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","54918.38274524045"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","51746.95567669399"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","54600.01983167708"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","55432.026288754976"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","37034.9799717389"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","40910.90281437902"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","58223.62619512782"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","58285.67041128834"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5593.938056623589"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","61583.32964811053"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","60320.48661391278"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","45345.400590780526"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10715.734728983974"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","63710.99823111629"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","65665.9862051995"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","47124.58331947455"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","68291.781535094"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","67518.99461444873"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","15623.20362511383"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","67906.39154519947"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","48236.534698728006"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","67009.84790247366"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","20056.557747228013"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","69749.71221640155"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","66927.58961951408"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","52261.300998120176"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","67474.29987146621"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","68492.0677140565"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","56435.145281818026"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","23802.488871396366"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","67952.76303699554"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","67412.27700240769"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","27830.250295077418"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","57736.367183571725"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","67268.30114622554"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","72718.2329827705"
"6","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","67478.97183668571"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","61276.16108287704"
"5","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","77869.63190323804"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","31288.77811675433"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","62475.168977655296"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","0","0"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","36411.5319888656"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","65013.527555343455"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5823.096802856278"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","1","5080.484852193816"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","67159.6697907808"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","39044.29461491104"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","10325.851254341207"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","2","9280.06374680818"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","66612.28919431116"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","16179.006472813064"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","69603.43811753204"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","3","13996.089148577075"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","41290.371992480854"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","20863.130187971285"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","72208.12192509332"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","4","18251.83140378349"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","44781.356079750105"
"7","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","71484.9331009399"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","24704.13483011238"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","5","23301.11803111489"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","47162.84399085182"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","28821.59832245828"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","0","0"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","6","27257.39698198005"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","32965.991906157724"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","51697.699695660376"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","7","30008.993959318715"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","1","6889.532716990335"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","37345.581928737716"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","2","13912.735229083912"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","8","32333.267443098473"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","54275.5683054433"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","40483.64248196751"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","3","20999.117374173984"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","9","36826.09300604469"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","56347.29325341785"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","44994.76340845031"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","4","27021.794874763073"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","10","38617.56542810607"
