"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"50","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","91210.02471745021","253.2253362065994"
"49","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","91892.6501805387","432.29022798135827"
"52","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","80482.95744808222","187.83310001140654"
"53","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","87785.4870031023","209.69175573952347"
"54","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","88541.60625801906","100.89711701565946"
"51","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","82349.57516222073","183.10615550708283"
"55","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","98931.16892537414","294.4716518523791"
"57","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","85667.85550540918","212.44952632420495"
"56","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","90849.9999372988","146.95483454080454"
"58","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","81030.42664418319","337.5202687073734"
"59","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","87450.15473565388","36.06163535601552"
"61","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","93917.02555471945","250.59416012328668"
"62","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","71705.92245301984","306.29499485700444"
"63","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","85672.65251586887","200.0569574271819"
