"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-risk"
"02/23/2016 04:30:19:519 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"44","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","127344.66363401366","7223.652061051636","0.038799172515819824"
"45","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","111839.2752200499","7144.782467650273","0.03841843139068349"
"46","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","132145.74536635703","7396.993082861857","0.03720680411067881"
"47","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","124699.23789207615","7256.772104618373","0.03492075136086132"
"48","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","126394.87260915058","7569.060591317015","0.03962284314569146"
"49","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","111320.02362857155","7093.447400059681","0.038206440275513176"
"50","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","126835.43946468638","7676.094276957193","0.03595042476390379"
"52","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","118161.72859615338","7090.947448194816","0.03969837726530421"
"51","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","124301.16278992136","7383.916903156246","0.03972793567739837"
"53","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","124079.61863792827","7195.944137706285","0.03974371645718017"
"55","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","119316.23717450156","7059.8060040105975","0.042514866531160315"
"56","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","120733.80393652519","7300.621414389303","0.04143044092011416"
"54","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","123008.48622724591","7354.5891368859775","0.034766777358646014"
"57","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","115824.66010866914","7186.9122434113415","0.03958409203648427"
"59","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","119223.44745189232","7455.748518671638","0.0421204883314612"
"60","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","117907.92917592323","7195.8070068347315","0.03774827849446333"
"58","25","""neighbors""","10","0.01","1.2","""exp utility""","100","1","0.1","""wealth""","24","121306.93825692884","7616.914119841415","0.036433246671338355"
"61","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","112331.03762163599","7039.535096586251","0.04148068475402456"
"62","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","115975.7886716104","7154.412857462768","0.04077334011933045"
"63","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","122182.06394150553","6945.143285775669","0.038089936307089296"
"64","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","116626.03789166454","7353.732940041026","0.040446504666668666"
"65","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","111014.83581378649","7202.532359455069","0.04261461129050884"
"66","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","105287.69488916597","6908.5571773440615","0.042386781971114694"
"67","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","117507.07026396465","7236.755345275935","0.04327280595364215"
"69","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","119979.87324813282","7604.227188203175","0.04137123828741262"
"70","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","101736.95165785517","6740.137949546235","0.037789294739732845"
"68","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","103355.11112799248","7014.105324188197","0.043567043923847"
"71","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","104666.30043307341","7556.741525330359","0.04351235544537548"
"72","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","124057.9825928691","7202.842645655695","0.03740216754121695"
"73","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","111953.49113033613","7308.801018862627","0.040675177713402205"
"75","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","111895.23880732252","7235.341477510394","0.0393348766287616"
"76","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","126285.18345126795","7319.662662655245","0.03837385248245475"
"74","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","116404.28020884802","7261.8322599447365","0.043088799441525556"
"1","25","""neighbors""","10","0.01","1","""exp utility""","100","1","0.1","""wealth""","24","139454.2927495879","7539.142912535605","0.03165480126078775"
"79","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","131414.82437375517","7380.215954807297","0.037310482261754874"
"78","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","126918.69042462537","7594.084375365651","0.04211485050466228"
"77","25","""neighbors""","10","0.01","1.3","""exp utility""","100","1","0.1","""wealth""","24","117531.76324013303","7139.574901603134","0.03894029384811436"
"81","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","108455.77812429778","7194.341095441078","0.04768785418757954"
"82","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","130786.42980444223","7238.47500520889","0.040956685699743645"
