"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"42","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","72208.58714632851","4356.120040176951","0.03218053243047296"
"45","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","86005.37456023213","4583.563953707713","0.031954741589172095"
"44","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","73362.49229762383","4571.327139480429","0.03183960306988402"
"46","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","75389.11419729053","4345.358022792383","0.03359229284454564"
"47","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","75415.1741482234","4351.973543064432","0.03496943365688301"
"48","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","75465.936041033","4408.626850109823","0.03404314759276843"
"49","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","80491.21336227797","4294.325177418132","0.030400637984039282"
"51","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","73202.68791035967","4466.119645920841","0.033818771343301156"
"52","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","78301.6042445022","4291.438552224278","0.030748513981776592"
"50","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","83451.57858355132","4433.30937579751","0.03243254713529617"
"1","25","""neighbors""","10","0.01","1","""exp utility""","100","0.5","0.1","""wealth""","24","69535.88668283612","3624.1668619326565","0.02710799670755837"
"53","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","78412.35522477044","4493.320927959386","0.03335031006308144"
"54","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","78664.24073227638","4181.396579077745","0.03157897311085092"
"55","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","79150.68729447058","4326.763085884419","0.029078783459721"
